id,name,score,publisher,developer,follow,topic,review,install
1,钢琴块2 （别踩白块儿2 ）,9.4,Cheetah Games,,895640,431,4132,1819012
2,部落冲突 (Clash of Clans)US,9.2,Supercell,,182919,160,671,
3,花花传奇,8.0,King,,5156,10,87,
4,地铁跑酷,6.2,深圳市创梦天地科技有限公司,,344379,195,848,466357
5,神庙逃亡2,4.6,深圳市创梦天地科技有限公司,,146357,55,407,88040
6,Pixduel™,,FEO Media AB,,8,,,
7,雷霆天下 (Mobile Strike),5.7,Epic War,,1574,5,52,
8,8 Ball Pool,8.3,Miniclip.com,,68998,5,84,
13,别踩白块,7.6,Cheetah Games,,75578,7,86,
14,糖果传奇,9.5,King,,27709,5,102,
15,饥饿鲨 进化US,9.6,Future Games of London,,53427,13,96,
16,Smashy Road: Wanted,8.6,Bearbit Studios B.V.,,7863,3,24,
17,我的汤姆猫 (My Talking Tom),8.5,杭州哲信信息技术有限公司,,119830,22,241,134681
18,Agar.io,7.5,Miniclip.com,,31748,9,122,
19,Words With Friends – Play Free,,Zynga,,91,,1,
20,烹饪发烧友-风靡全球的模拟烹饪游戏,8.5,Nordcurrent,,63032,34,717,
21,糖果苏打传奇US,9.8,King,,15583,7,131,
22,几何冲刺,9.6,RobTop Games,,162340,119,1125,
23,奔跑小小兵: 神偷奶爸官方游戏,8.9,Gameloft,,36893,8,349,
24,猎鹿人2018,8.5,Glu,,29159,30,208,
26,天天过马路,9.3,北京游道易网络文化有限公司,,23967,8,134,38470
