id,name,score,publisher,developer,follow,topic,review,install
1,钢琴块2 （别踩白块儿2 ）,9.4,Cheetah Games,,896240,431,4132,1819859
2,部落冲突 (Clash of Clans)US,9.2,Supercell,,183058,160,671,
3,花花传奇,8.0,King,,5161,10,87,
4,地铁跑酷,6.2,深圳市创梦天地科技有限公司,,344852,195,849,466571
5,神庙逃亡2,4.6,深圳市创梦天地科技有限公司,,146566,55,408,88097
6,Pixduel?,,FEO Media AB,,8,,,
7,雷霆天下 (Mobile Strike),5.7,Epic War,,1574,5,52,
8,8 Ball Pool,8.3,Miniclip.com,,69037,5,84,
13,别踩白块,7.6,Cheetah Games,,75625,7,86,
14,糖果传奇,9.5,King,,27730,5,102,
15,饥饿鲨 进化US,9.6,Future Games of London,,53471,13,96,
16,Smashy Road: Wanted,8.6,Bearbit Studios B.V.,,7866,3,24,
17,我的汤姆猫 (My Talking Tom),8.5,杭州哲信信息技术有限公司,,119917,22,241,134746
18,Agar.io,7.5,Miniclip.com,,31761,9,122,
19,Words With Friends – Play Free,,Zynga,,91,,1,
20,烹饪发烧友-风靡全球的模拟烹饪游戏,8.5,Nordcurrent,,63073,34,717,
21,糖果苏打传奇US,9.8,King,,15595,7,131,
22,几何冲刺,9.6,RobTop Games,,162353,119,1125,
23,奔跑小小兵: 神偷奶爸官方游戏,8.9,Gameloft,,36919,8,349,
24,猎鹿人2018,8.5,Glu,,29179,30,208,
26,天天过马路,9.3,北京游道易网络文化有限公司,,23978,8,135,38476
31,熊猫泡泡,8.2,SGN,,965,,7,
32,我的安吉拉 (My Talking Angela),8.8,杭州哲信信息技术有限公司,,68601,19,253,106371
33,Roll the Ball：滑动拼图,8.6,BitMango,,34755,7,205,
34,神庙逃亡,9.0,Imangi Studios,,21595,6,155,
35,愤怒的小鸟2,8.6,Rovio Entertainment Ltd.,,63065,74,491,
36,Clash of Lords 2: Guild Brawl,7.8,IGG.COM,,1025,,5,
38,Kill Shot BravoUS,6.8,Hothead Games,,1189,2,10,
39,Angry Birds Classic,8.5,Rovio Entertainment Ltd.,,12410,1,23,
40,Flow Free,9.9,Big Duck Games LLC,,4439,3,38,
41,星球大战：银河英雄传,7.7,艺电 EA,,25101,25,110,
43,植物大战僵尸,8.1,艺电 EA,,470533,3232,10021,
44,Toy Blast,8.4,Peak Games,,3056,,20,
45,TETRIS,,艺电 EA,,654,,4,
47,Glow Hockey,9.4,Natenai Ariyatrakool,,10100,,15,
48,饼干消除,9.6,SGN,,3393,,35,
49,海岛奇兵（Boom Beach）US,8.2,Supercell,,40082,254,511,
50,辐射 避难所US,9.2,Bethesda Softworks LLC,,54310,107,463,
51,COK列王的纷争,7.4,Elex Wireless,,10161,56,309,
53,摩托车表演赛,8.5,Top Free Games.,,93088,35,256,
56,Trivia Crack,,Etermax,,3800,,5,
57,我的宠物Pou,9.5,Zakeh,,13492,8,108,
58,极品飞车：无极限赛车,7.6,艺电 EA,,207347,1535,1967,
59,糖糖大世界！—— 免费的三消策略游戏,8.4,Big Fish Games,,340,1,12,
62,Turbo Dismount?,9.8,Secret Exit Ltd.,,13304,5,57,
63,转道了,8.2,Ketchapp,,9556,3,31,
64,战争游戏：火力时代 (Game of War),6.0,"Machine Zone, Inc.",,701,,27,
67,Inside Out Thought Bubbles,,Disney,,333,,4
70,猫咪后院,9.9,"Hit-Point Co.,Ltd.",,214102,670,1514
72,急速冲击,8.4,Mediocre,,77699,26,487
73,疯狂喷气机,9.8,Halfbrick Studios,,62119,33,530
74,漫威: 超级争霸战,8.0,Kabam,,88590,233,793
77,极限驾驶模拟器,9.1,AxesInMotion Racing,,56357,98,242
79,Family Feud? 2,,Ludia Inc.,,17,,
84,水果忍者,8.6,Halfbrick Studios,,142787,76,636
85,Wipeout 2,,"Activision Publishing, Inc.",,182,,4
91,WordBrain,,MAG Interactive,,68,,1
94,购物精灵欢乐园,,Mighty Kingdom,,101,,1
96,Hello Kitty 美甲沙龙,4.8,Budge Studios,,1130,,12
98,汤姆猫泡泡射手,9.3,Rhea Entertainment,杭州哲信信息技术有限公司,,4,17
99,暗影格斗 2,8.3,NEKKI,,178030,334,1067
100,Bejeweled Classic,9.6,艺电 EA,,996,2,14
434,Fate/Grand OrderJP,9.4,Aniplex Inc.,,212086,4695,3153
447,三国天武?三国战略的全面战略决战JP,7.6,6waves,,322,,13
449,消灭都市JP,9.5,Wright Flyer Studios,,2543,9,83
454,私立格里莫瓦魔法学园,9.0,株式会社 アプリボット,,2146,4,44
456,IDOLiSH7,9.8,BANDAI NAMCO Online Inc.,,14193,68,380
459,怪物猎人 : EXPLOREJP,8.6,株式会社カプコン,,15961,107,218
460,苍之三国志,,"COLOPL, Inc.",,45,1,2
461,Unison League,6.5,Ateam Inc.,,641,5,33
465,梦幻之星网路版 2 es,8.5,SEGA,,4668,3,53
466,我们的甲子园！口袋篇JP,,KAYAC Inc.,,31,,3
470,AKB48终于出官方音游了。,8.9,"S&P Co., Ltd.",,1913,2,50
479,小小诺亚,9.4,"Cygames, Inc.",,11938,52,195
480,少女与战车 战车道大作战！JP,9.2,showgate,,3777,6,84
481,我家公主大人最可爱,9.7,CyberAgent Inc.,,4216,36,132
506,Minecraft,10,Mojang,,1195082,1329,7621
518,ePSXe for Android,9.6,epsxe software s.l.,,13361,3,12
519,LEGO? Star Wars?:  TCS,9.7,Warner Bros. International Enterprises,,640,,9
528,狂野飙车8 ：极速凌云,8.1,Gameloft,,953302,4122,7924
530,Descendants,,Disney,,19,,1
531,My Singing Monsters,9.9,Big Blue Bubble,,1450,,16
532,儿童快乐涂鸦 - 童心童画 - Kids Doodle,,Doodle Joy Studio,,470,1,8
533,Unison League,9.7,Ateam Inc.,,2446,3,15
534,劲爆高尔夫纸牌,,Big Fish Games,,129,,4
535,PAC-MAN,8.9,BANDAI NAMCO Entertainment America Inc.,,33743,11,136
536,Bejeweled Blitz,10,艺电 EA,,266,,7
537,像素枪 3D（便携版）,8.6,RiliSoft,,228979,3916,2769
538,Racing in Car,9.8,Fast Free Games,,2160,,25
539,曼陀罗着色页,,Coloring Games,,135,,4
540,Color Switch,8.2,Fortafy Games,,11189,3,54
541,飞皂宝宝传奇,,King,,138,,3
542,Geometry Dash Meltdown,9.9,RobTop Games,,28633,17,380
547,White Tiles 4 : Classic Piano,,Brighthouse,,73,,
548,Bowling Star,,Smoote Mobile,,4,,
551,Extreme Speed,,Pudlus Games,,56,,
553,Moto Jump 3D,,nullapp,,14,,
