id,name,score,publisher,developer,follow,order,topic,review,install,recommend
1,钢琴块2 （别踩白块儿2 ）,9.4,Cheetah Games,,905575,,435,4149,1831872,
2,部落冲突 (Clash of Clans)US,9.1,Supercell,,185917,,167,678,,
3,花花传奇,8,King,,5197,,10,87,,
4,地铁跑酷,6.1,深圳市创梦天地科技有限公司,,354342,,195,855,470631,
5,神庙逃亡2,4.6,深圳市创梦天地科技有限公司,,151567,,57,406,89413,
6,Pixduel?,,FEO Media AB,,8,,,,,
7,雷霆天下 (Mobile Strike),5.7,Epic War,,1579,,5,52,,
8,8 Ball Pool,8.3,Miniclip.com,,70052,,5,84,,
13,别踩白块,7.6,Cheetah Games,,76557,,7,86,,
14,糖果传奇,9.5,King,,28304,,5,103,,
15,饥饿鲨 进化US,9.6,Future Games of London,,54959,,14,96,,
16,Smashy Road: Wanted,8.6,Bearbit Studios B.V.,,7996,,3,24,,
17,我的汤姆猫 (My Talking Tom),8.5,杭州哲信信息技术有限公司,,121860,,22,240,135930,
19,Words With Friends – Play Free,,Zynga,,91,,,1,,
20,烹饪发烧友-风靡全球的模拟烹饪游戏,8.5,Nordcurrent,,63964,,34,719,,
21,糖果苏打传奇US,9.5,King,,15770,,7,132,,
22,几何冲刺,9.6,RobTop Games,,162852,,120,1123,,yes
23,奔跑小小兵: 神偷奶爸官方游戏,8.9,Gameloft,,37184,,8,349,,
24,猎鹿人2018,8.5,Glu,,29461,,31,208,,
26,天天过马路,9,北京游道易网络文化有限公司,,24189,,8,136,38685,
31,熊猫泡泡,8.2,SGN,,982,,,7,,
33,Roll the Ball：滑动拼图,8.6,BitMango,,34792,,7,205,,
34,神庙逃亡,9,Imangi Studios,,21833,,6,155,,
35,愤怒的小鸟2,8.6,Rovio Entertainment Ltd.,,63936,,75,492,,
36,Clash of Lords 2: Guild Brawl,7.8,IGG.COM,,1037,,,5,,
38,Kill Shot BravoUS,6.8,Hothead Games,,1204,,2,10,,
39,Angry Birds Classic,8.5,Rovio Entertainment Ltd.,,12834,,1,23,,
40,Flow Free,9.9,Big Duck Games LLC,,4487,,3,38,,
41,星球大战：银河英雄传,7.7,艺电 EA,,25151,,25,110,,
43,植物大战僵尸,7.9,艺电 EA,,487315,,3379,10255,,yes
44,Toy Blast,8.4,Peak Games,,3114,,,20,,
45,TETRIS,,艺电 EA,,674,,,4,,
47,Glow Hockey,9.4,Natenai Ariyatrakool,,10204,,,15,,
48,饼干消除,9.6,SGN,,3410,,,35,,
49,海岛奇兵（Boom Beach）US,8.2,Supercell,,40253,,254,510,,
50,辐射 避难所US,9.2,Bethesda Softworks LLC,,54538,,107,465,,
51,COK列王的纷争,7.4,Elex Wireless,,10247,,58,313,,
53,摩托车表演赛,8.5,Top Free Games.,,93061,,35,256,,yes
56,Trivia Crack,,Etermax,,3918,,,5,,
57,我的宠物Pou,9.5,Zakeh,,13654,,8,108,,
58,极品飞车：无极限赛车,7.6,艺电 EA,,208485,,1541,1974,,
59,糖糖大世界！—— 免费的三消策略游戏,8.4,Big Fish Games,,345,,1,12,,
62,Turbo Dismount?,9.8,Secret Exit Ltd.,,13560,,5,57,,
63,转道了,8.2,Ketchapp,,9581,,3,31,,
64,战争游戏：火力时代 (Game of War),6,"Machine Zone, Inc.",,704,,,27,,
67,Inside Out Thought Bubbles,,Disney,,339,,,4,,
70,猫咪后院,9.9,"Hit-Point Co.,Ltd.",,214429,,670,1515,,yes
72,急速冲击,8.4,Mediocre,,78224,,26,487,,
